Country,Name,Breeder and Vendor,Parentage,Characteristics,Resistance,Susceptibility,Tolerant,PVP/Patent #,Market Class,Source,Direct harvest suitability,Yield,Maturity,Seed weight
USA,Samurai (G12901),Michigan State University,G07321/Fuji,"Medium maturity (100 days), 2b erect growth habit-indeterminate, guides medium to long with no ability to climb, adapted to direct harvest, 45 days to 50% bloom",Bean common mosaic virus (All strains),"anthracnose (Race 73), Bean common mosaic necrosis virus (all strains), common bacterial blight (Michigan Isolate), rust (Michigan Isolate 22-2), white mold (Michigan Isolates)",,201700125,Otebo,"Journal of Plant Registrations 2016, 16(2): 109-114",,,,
USA,Santa Cruz (06189),"ADM Edible Bean Specialties, Inc",99-2221/La Paz,"Medium maturity (93 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 46 days to 50% bloom",,,,PV201300355,Pinto,,,,,
USA,Santa Fe (P04205),Michigan State University,P99119/G99750,"Medium maturity (91 days), 2a erect growth habit- indeterminate, guides (runners) short or not developed, adapted to direct harvest, 44 days to 50% bloom","anthracnose (Race 7), Bean common mosaic virus (All strains), rust (Michigan isolates, Race 53)","Bean common mosaic necrosis virus (All strains), common bacterial blight (Michigan Isolate)",white mold (Michigan isolates),201000269,Pinto,"Journal of Plant Registrations 2010, 4(1): 12-16",,,,
USA,Santiago (RNK278),Rogers Seed Co,AR83-2/781898,"Medium maturity (92 days), 2b erect growth habit- indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 44 days to 50% bloom",Bean common mosaic virus,"rust (Races 41, 43, 44, 52), common bacterial blight","white mold, Fusarium root rot, curly top virus",9600019,Pinto,,,,,
USA,Sawtooth,University of Idaho,Matterhorn/Starlight//Beryl/Weihing,"Medium maturity (98 days), 3b vine-indeterminate, long guides with ability to climb, not adapted to direct harvest, 45 days to 50% bloom","Bean common mosaic virus (NY15, US6), Bean common mosaic necrosis virus (necrotic reaction), rust (Race 38)",,rust (Race 53),200900305,Great Northern,"Journal of Plant Registrations 2008, 2(3): 174-179",,,,
USA,Scout (23ST-27),North Dakota State University & USDA,Z0818-23/Stampede,"Medium maturity (100 days), 2b erect growth habit-indeterminate, guides medium to long with no ability to climb, not adapted to direct harvest, 45 days to 50% bloom",Bean common mosaic virus (NL3),"common bacterial blight, rust, anthracnose, white mold",,201700187,Slow Darkening Pinto,,,,,
USA,Seabiskit (N128420),Archer-Daniels-Midland Co,Crestwood/Rogers 331,"Medium maturity (95 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 59 days to 50% bloom",,,white mold,200600056,Navy,,,,,
USA,Seahawk (N97774),Michigan State University,Bunsi/Huron,"Medium maturity (97 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 45 days to 50% bloom","anthracnose (Race 7, 65), Bean common mosaic virus (all strains)","common bacterial blight (Michigan isolates), rust (Race 53)",white mold (Michigan isolates),200300283,Navy,,,,,
USA,Sedona (S00809),Michigan State University,X94076/R94142,"Mid-season maturity, days to maturity-93, 2b growth habit- erect, indeterminate, guides medium to long with no ability to climb, days to flowering-42 (50% bloom)","rust (Michigan isolates), Bean common mosaic virus (NL-1, NL-2, NL-7)",common bacterial blight (Michigan isolates),,200700410,Pink,"Crop Science 2006, 46(6): 2707-2708",,,,
USA,Shania (B201240),Archer-Daniels-Midland Co,T39/Midnight,"2a growth habit-erect, indeterminate, guides short or not developed, mid-season maturity, days to maturity-98, days to flowering-47 (50% bloom)","Bean common mosaic virus (I gene), rust (53), drought, air pollution","Bean common necrosis virus, anthracnose (Race 73), common bacterial blight","heat, cold",200800184,Black,,,,,
USA,Shiny Black Pearl,Colorado State University,ARA 13/UI 906//H9652-5,"Medium maturity (95 days), 2a erect growth habit- indeterminate, guides (runners) short or not developed, not adapted to direct harvest, 41 days to 50% bloom",Bean common mosaic virus (All strains),"rust (Race 53), common bacterial blight",,201100048,Black,"Bean Improvement Cooperative 2011, 212",,,,
USA,Shoshone (UIP 15-53),University of Idaho,UIP15= H9657-42-2/3/'Poncho'/G 17341//'Kodiak'/BelDakMi-RMR-14,"Mid-season maturity (90-100), days to maturity-94, 3b growth habit- vine, indeterminate, days to flowering-45 (50% bloom)","Bean common mosaic virus (NY15 & US6), Bean common necrosis virus (NL-3K), rust (38)",,"rust (53), Fusarium root rot, curly top virus, heat, drought",200900304,Pinto,"Journal of Plant Registrations 2008, 2(3): 180-186",,,,
USA,Sinaloa (06203),"AmeriSeed, LLC",01-3564-1/La Paz,"Early maturity (90 days), 2b erect growth habit- indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 46 days to 50% bloom",rust (ur3 gene),,,201100007,Pinto,,,,,
USA,Snowden (K08961),Michigan State University,K04604/USDK-CBB-15,"Medium maturity (95 days), 1a bush-determinate, strong and erect stem and branches, not adapted to direct harvest, 36 days to 50% bloom","anthracnose (Races 73), Bean common mosaic virus (All strains)","Bean common mosaic necrosis virus (All strains), common bacterial blight (Michigan isolate), rust (Michigan isolate 22:2), white mold (Michigan isolates)",,201500009,White Kidney,"Journal of Plant Registrations 2012, 6(3): 238-242",,,,
